iso_code	Country	date	total_cases	new_cases	total_deaths	new_deaths	total_cases_per_million	new_cases_per_million	total_deaths_per_million	new_deaths_per_million	total_tests	new_tests	total_tests_per_thousand	new_tests_per_thousand	new_tests_smoothed	new_tests_smoothed_per_thousand	tests_units	stringency_index	population	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	extreme_poverty	cvd_death_rate	diabetes_prevalence	female_smokers	male_smokers	handwashing_facilities	hospital_beds_per_100k	HDI	HealthExpenseperGDP
ABW	Aruba	16/04/2020	93.0	1.0	1.0	1.0	871.064	9.366	9.366	9.366								83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	17/04/2020	95.0	2.0	1.0	0.0	889.796	18.733	9.366									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	18/04/2020	96.0	1.0	2.0	1.0	899.163	9.366	18.733	9.366								86.24	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	19/04/2020	96.0	0.0	2.0	0.0	899.163		18.733									86.24	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	20/04/2020	97.0	1.0	2.0	0.0	908.529	9.366	18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	21/04/2020	97.0	0.0	2.0	0.0	908.529		18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	22/04/2020	97.0	0.0	2.0	0.0	908.529		18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	23/04/2020	100.0	3.0	2.0	0.0	936.628	28.099	18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	24/04/2020	100.0	0.0	2.0	0.0	936.628		18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	25/04/2020	100.0	0.0	2.0	0.0	936.628		18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	26/04/2020	100.0	0.0	2.0	0.0	936.628		18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	27/04/2020	100.0	0.0	2.0	0.0	936.628		18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	28/04/2020	100.0	0.0	2.0	0.0	936.628		18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	29/04/2020	100.0	0.0	2.0	0.0	936.628		18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	30/04/2020	100.0	0.0	2.0	0.0	936.628		18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	01/05/2020	100.0	0.0	2.0	0.0	936.628		18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	02/05/2020	100.0	0.0	2.0	0.0	936.628		18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	03/05/2020	100.0	0.0	2.0	0.0	936.628		18.733									83.46	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	04/05/2020	100.0	0.0	2.0	0.0	936.628		18.733									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	05/05/2020	100.0	0.0	2.0	0.0	936.628		18.733									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	06/05/2020	100.0	0.0	2.0	0.0	936.628		18.733									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	07/05/2020	101.0	1.0	2.0	0.0	945.994	9.366	18.733									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	08/05/2020	101.0	0.0	3.0	1.0	945.994		28.099	9.366								80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	09/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	10/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	11/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	12/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	13/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	14/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	15/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	16/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	17/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									80.82	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	18/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									47.48	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	19/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									47.48	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	20/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									47.48	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	21/05/2020	101.0	0.0	3.0	0.0	945.994		28.099									47.48	106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	22/05/2020	101.0	0.0	3.0	0.0	945.994		28.099										106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	23/05/2020	101.0	0.0	3.0	0.0	945.994		28.099										106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
ABW	Aruba	24/05/2020	101.0	0.0	3.0	0.0	945.994		28.099										106766.0	584.8	41.2	13.085	7.452	35973.781			11.62						
AFG	Afghanistan	24/03/2020	40.0	6.0	1.0	1.0	1.028	0.154	0.026	0.026								44.05	38928341.0	54.422	18.6	25.81	1.337	1803.987		597.029	9.59			37.746	0.5	0.496	
AFG	Afghanistan	25/03/2020	42.0	2.0	1.0	0.0	1.079	0.051	0.026									53.31	38928341.0	54.422	18.6	25.81	1.337	1803.987		597.029	9.59			37.746	0.5	0.496	
AFG	Afghanistan	26/03/2020	75.0	33.0	1.0	0.0	1.927	0.848	0.026									53.31	38928341.0	54.422	18.6	25.81	1.337	1803.987		597.029	9.59			37.746	0.5	0.496	
AFG	Afghanistan	27/03/2020	75.0	0.0	1.0	0.0	1.927		0.026									53.31	38928341.0	54.422	18.6	25.81	1.337	1803.987		597.029	9.59			37.746	0.5	0.496	
AFG	Afghanistan	28/03/2020	91.0	16.0	2.0	1.0	2.338	0.411	0.051	0.026								61.25	38928341.0	54.422	18.6	25.81	1.337	1803.987		597.029	9.59			37.746	0.5	0.496	
AFG	Afghanistan	29/03/2020	106.0	15.0	3.0	1.0	2.723	0.385	0.077	0.026								61.25	38928341.0	54.422	18.6	25.81	1.337	1803.987		597.029	9.59			37.746	0.5	0.496	
AFG	Afghanistan	30/03/2020	114.0	8.0	4.0	1.0	2.928	0.206	0.103	0.026								61.25	38928341.0	54.422	18.6	25.81	1.337	1803.987		597.029	9.59			37.746	0.5	0.496	
