iso_code	Country	date	total_cases	new_cases	total_deaths	new_deaths	total_cases_per_million	new_cases_per_million	total_deaths_per_million	new_deaths_per_million	stringency_index	population	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	extreme_poverty	cvd_death_rate	diabetes_prevalence	female_smokers	male_smokers	handwashing_facilities	hospital_beds_per_100k	HDI	HealthExpenseperGDP	log_population
ARE	United Arab Emirates	22/03/2020	153.0	13.0	2.0	2.0	15.47	1.314	0.202	0.202	46.96	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	23/03/2020	153.0	0.0	2.0	0.0	15.47	0.0	0.202	0.0	63.89	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	24/03/2020	198.0	45.0	2.0	0.0	20.019	4.55	0.202	0.0	63.89	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	25/03/2020	248.0	50.0	2.0	0.0	25.075	5.055	0.202	0.0	72.48	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	26/03/2020	333.0	85.0	2.0	0.0	33.669	8.594	0.202	0.0	76.45	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	27/03/2020	333.0	0.0	2.0	0.0	33.669	0.0	0.202	0.0	87.57	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	28/03/2020	405.0	72.0	2.0	0.0	40.949	7.28	0.202	0.0	87.57	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	29/03/2020	468.0	63.0	2.0	0.0	47.319	6.37	0.202	0.0	87.57	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	30/03/2020	468.0	0.0	2.0	0.0	47.319	0.0	0.202	0.0	87.57	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	31/03/2020	611.0	143.0	5.0	3.0	61.777	14.458	0.506	0.303	87.57	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	01/04/2020	664.0	53.0	6.0	1.0	67.136	5.359	0.607	0.101	87.57	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	02/04/2020	664.0	0.0	6.0	0.0	67.136	0.0	0.607	0.0	87.57	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	03/04/2020	1024.0	360.0	8.0	2.0	103.535	36.399	0.809	0.202	87.57	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	04/04/2020	1024.0	0.0	8.0	0.0	103.535	0.0	0.809	0.0	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	05/04/2020	1505.0	481.0	10.0	2.0	152.168	48.633	1.011	0.202	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	06/04/2020	1799.0	294.0	10.0	0.0	181.894	29.726	1.011	0.0	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	07/04/2020	2076.0	277.0	11.0	1.0	209.901	28.007	1.112	0.101	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	08/04/2020	2359.0	283.0	12.0	1.0	238.514	28.614	1.213	0.101	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	09/04/2020	2659.0	300.0	12.0	0.0	268.847	30.332	1.213	0.0	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	10/04/2020	2990.0	331.0	14.0	2.0	302.313	33.467	1.416	0.202	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	11/04/2020	3360.0	370.0	16.0	2.0	339.723	37.41	1.618	0.202	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	12/04/2020	3736.0	376.0	20.0	4.0	377.74	38.017	2.022	0.404	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	13/04/2020	4123.0	387.0	22.0	2.0	416.869	39.129	2.224	0.202	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	14/04/2020	4521.0	398.0	25.0	3.0	457.11	40.241	2.528	0.303	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	15/04/2020	4933.0	412.0	28.0	3.0	498.766	41.657	2.831	0.303	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	16/04/2020	5365.0	432.0	33.0	5.0	542.445	43.679	3.337	0.506	91.54	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	17/04/2020	5825.0	460.0	33.0	0.0	588.955	46.51	3.337	0.0	90.74	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	18/04/2020	5825.0	0.0	35.0	2.0	588.955	0.0	3.539	0.202	90.74	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
ARE	United Arab Emirates	19/04/2020	6302.0	477.0	37.0	2.0	637.184	48.229	3.741	0.202	90.74	9890400.0	112.442	34.0	11.44	0.526	67293.483		317.84	17.26	1.2	37.4		1.2	0.866		16.107
