iso_code	date	total_cases	total_deaths	total_cases_per_million	total_deaths_per_million	new_cases	new_deaths	new_deaths_per_million	new_cases_per_million	stringency_index	hospital_beds_per_1k	health_expenditure(%ofGDP)	HealthExpenseperGDP	diabetes_prevalence	cvd_death_rate	total_smokers	gdp_per_capita	HDI	median_age	aged_65_older	population_density	population	log_population	Lineage	identity percentage for NSP1	score for NSP1	identity percentage for NSP2	score for NSP2	identity percentage for NSP3	score for NSP3	identity percentage for NSP4	score for NSP4	identity percentage for NSP5	score for NSP5	identity percentage for NSP6	score for NSP6	identity percentage for NSP7	score for NSP7	identity percentage for NSP8	score for NSP8	identity percentage for NSP9	score for NSP9	identity percentage for NSP10	score for NSP10	identity percentage for NSP11	score for NSP11	identity percentage for NSP12	score for NSP12	identity percentage for NSP13	score for NSP13	identity percentage for NSP14	score for NSP14	identity percentage for NSP15	score for NSP15	identity percentage for NSP16	score for NSP16	identity percentage for Spike	score for Spike	identity percentage for NS3	score for NS3	identity percentage for E	score for E	identity percentage for M	score for M	identity percentage for NS6	score for NS6	identity percentage for NS7a	score for NS7a	identity percentage for NS7b	score for NS7b	identity percentage for NS8	score for NS8	identity percentage for N	score for N	death_growth_rate	Country	Clade_V	Clade_GH	Clade_GR	Clade_G	Clade_O	Clade_L	Clade_S
DZA	2020-02-29	17.0	0.0	0.388	0.0	17.0	0.0	0.0	0.389	0.0	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.9	3982.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.45	2062.5	99.35	545.5	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	0.0	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-03-31	1423.0	173.0	32.451	3.945	1406.0	173.0	3.947	32.064	73.15	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.6	2067.0	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	0.0	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-04-30	4997.0	476.0	113.954	10.855	3574.0	303.0	6.909	81.505	82.42	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.6	2067.0	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	75.1445	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-05-31	8113.0	592.0	185.013	13.5	3116.0	116.0	2.648	71.059	11.11	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.6	2067.0	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	-61.7162	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
ARG	2020-02-29	8.0	0.0	0.177	0.0	8.0	0.0	0.0	0.177	11.11	5.0	9.12	1726.7723	5.5	191.032	23.95	18933.907	0.83	31.9	11.198	16.177	45195777.0	17.627	B.1.1	100.0	1299.0	100.0	4656.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	100.0	2074.0	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.5	2995.0	0.0	Argentina	0.0	0.0	1.0	1.0	0.0	0.0	0.0
ARG	2020-03-31	1628.0	53.0	36.021	1.173	1620.0	53.0	1.172	35.841	100.0	5.0	9.12	1726.7723	5.5	191.032	23.95	18933.907	0.83	31.9	11.198	16.177	45195777.0	17.627	B.1	100.0	1299.0	100.0	4656.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.8	2070.5	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.9	3008.5	0.0	Argentina	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ARG	2020-04-30	5195.0	273.0	114.944	6.04	3567.0	220.0	4.869	78.922	100.0	5.0	9.12	1726.7723	5.5	191.032	23.95	18933.907	0.83	31.9	11.198	16.177	45195777.0	17.627	B.1	100.0	1299.0	100.0	4656.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.8	2070.5	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.9	3008.5	315.0943	Argentina	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ARG	2020-05-31	11340.0	445.0	250.908	9.846	6145.0	172.0	3.805	198.893	7.94	5.0	9.12	1726.7723	5.5	191.032	23.95	18933.907	0.83	31.9	11.198	16.177	45195777.0	17.627	B.1	100.0	1299.0	100.0	4656.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.8	2070.5	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.9	3008.5	-21.8182	Argentina	0.0	0.0	0.0	1.0	0.0	0.0	0.0
AUS	2020-01-31	14.0	0.0	0.549	0.0	14.0	0.0	0.0	0.547	12.105	3.84	9.21	9.252	5.07	107.791	14.9	44648.71	0.938	37.9	15.504	3.202	25499881.0	17.054	A	100.0	1299.0	100.0	4656.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	100.0	6999.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.975	9382.5	99.9	2071.25	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	99.4	908.5	99.85	3011.5	0.0	Australia	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AUS	2020-02-29	63.0	2.0	2.471	0.078	49.0	2.0	0.078	1.921	19.44	3.84	9.21	9.252	5.07	107.791	14.9	44648.71	0.938	37.9	15.504	3.202	25499881.0	17.054	A.3, A.1	99.9625	1298.75	99.8625	4648.9167	99.9938	14268.125	99.9167	3748.6667	100.0	2284.0	99.8375	2227.125	100.0	601.0	99.9688	1438.4375	100.0	821.0	100.0	1032.0	100.0	90.0	100.0	6999.0	99.9812	4436.3125	99.9875	3987.3125	99.9438	2533.6875	100.0	2222.0	99.975	9382.625	100.0	2074.0	99.9188	549.25	100.0	1667.0	100.0	465.0	99.95	900.1875	100.0	340.0	99.6438	913.1875	99.9333	3013.0417	0.0	Australia	0.0	0.0	0.0	0.0	1.0	0.0	0.0
AUS	2020-03-31	5844.0	42.0	229.178	1.647	5781.0	40.0	1.566	328.704	50.54	3.84	9.21	9.252	5.07	107.791	14.9	44648.71	0.938	37.9	15.504	3.202	25499881.0	17.054	B.1	99.9553	1298.586	99.8986	4651.1318	99.9743	14265.7074	99.9826	3752.2464	99.9865	2283.6299	99.9212	2229.6905	99.9869	600.8879	99.9963	1438.9391	99.9945	820.9446	99.9964	1031.9422	100.0	90.0	99.9416	6991.03	99.9512	4434.1455	99.9828	3987.0583	99.9709	2534.1253	99.9923	2221.8021	99.6873	9355.5695	99.8272	2070.3408	99.9974	549.9868	99.9875	1666.7447	99.9782	464.8034	99.9477	900.1471	100.0	340.0	99.7277	914.7089	99.8956	3011.1349	1900.0	Australia	0.0	1.0	0.0	1.0	0.0	0.0	0.0
