iso_code	date	new_cases	stringency_index	HealthExpenseperGDP	total_smokers	gdp_per_capita	aged_65_older	population_density	log_population	identity percentage for NSP1	score for NSP1	identity percentage for NSP2	score for NSP2	identity percentage for NSP3	score for NSP3	identity percentage for NSP4	score for NSP4	identity percentage for NSP5	score for NSP5	identity percentage for NSP6	score for NSP6	identity percentage for NSP7	score for NSP7	identity percentage for NSP8	score for NSP8	identity percentage for NSP9	score for NSP9	identity percentage for NSP10	score for NSP10	identity percentage for NSP11	score for NSP11	identity percentage for NSP12	score for NSP12	identity percentage for NSP13	score for NSP13	identity percentage for NSP14	score for NSP14	identity percentage for NSP15	score for NSP15	identity percentage for NSP16	score for NSP16	identity percentage for Spike	score for Spike	identity percentage for NS3	score for NS3	identity percentage for E	score for E	identity percentage for M	score for M	identity percentage for NS6	score for NS6	identity percentage for NS7a	score for NS7a	identity percentage for NS7b	score for NS7b	identity percentage for NS8	score for NS8	identity percentage for N	score for N	death_growth_rate	Country	Clade_V	Clade_GH	Clade_GR	Clade_G	Clade_O	Clade_L	Clade_S
DZA	2020-02-29	17.0	0.0	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.9	3982.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.45	2062.5	99.35	545.5	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	0.0	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-03-31	1406.0	73.15	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.6	2067.0	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	0.0	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-04-30	3574.0	82.42	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.6	2067.0	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	75.1445	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-05-31	3116.0	11.11	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.6	2067.0	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	-61.7162	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
ARG	2020-02-29	8.0	11.11	1726.7723	23.95	18933.907	11.198	16.177	17.627	100.0	1299.0	100.0	4656.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	100.0	2074.0	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.5	2995.0	0.0	Argentina	0.0	0.0	1.0	1.0	0.0	0.0	0.0
ARG	2020-03-31	1620.0	100.0	1726.7723	23.95	18933.907	11.198	16.177	17.627	100.0	1299.0	100.0	4656.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.8	2070.5	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.9	3008.5	0.0	Argentina	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ARG	2020-04-30	3567.0	100.0	1726.7723	23.95	18933.907	11.198	16.177	17.627	100.0	1299.0	100.0	4656.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.8	2070.5	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.9	3008.5	315.0943	Argentina	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ARG	2020-05-31	6145.0	7.94	1726.7723	23.95	18933.907	11.198	16.177	17.627	100.0	1299.0	100.0	4656.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.8	2070.5	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.9	3008.5	-21.8182	Argentina	0.0	0.0	0.0	1.0	0.0	0.0	0.0
AUS	2020-01-31	14.0	12.105	9.252	14.9	44648.71	15.504	3.202	17.054	100.0	1299.0	100.0	4656.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	100.0	6999.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.975	9382.5	99.9	2071.25	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	99.4	908.5	99.85	3011.5	0.0	Australia	0.0	0.0	0.0	0.0	0.0	0.0	1.0
AUS	2020-02-29	49.0	19.44	9.252	14.9	44648.71	15.504	3.202	17.054	99.9625	1298.75	99.8625	4648.9167	99.9938	14268.125	99.9167	3748.6667	100.0	2284.0	99.8375	2227.125	100.0	601.0	99.9688	1438.4375	100.0	821.0	100.0	1032.0	100.0	90.0	100.0	6999.0	99.9812	4436.3125	99.9875	3987.3125	99.9438	2533.6875	100.0	2222.0	99.975	9382.625	100.0	2074.0	99.9188	549.25	100.0	1667.0	100.0	465.0	99.95	900.1875	100.0	340.0	99.6438	913.1875	99.9333	3013.0417	0.0	Australia	0.0	0.0	0.0	0.0	1.0	0.0	0.0
