iso_code	date	new_cases	stringency_index	HealthExpenseperGDP	total_smokers	gdp_per_capita	aged_65_older	population_density	log_population	identity percentage for NSP1	score for NSP1	identity percentage for NSP2	score for NSP2	identity percentage for NSP3	score for NSP3	identity percentage for NSP4	score for NSP4	identity percentage for NSP5	score for NSP5	identity percentage for NSP6	score for NSP6	identity percentage for NSP7	score for NSP7	identity percentage for NSP8	score for NSP8	identity percentage for NSP9	score for NSP9	identity percentage for NSP10	score for NSP10	identity percentage for NSP11	score for NSP11	identity percentage for NSP12	score for NSP12	identity percentage for NSP13	score for NSP13	identity percentage for NSP14	score for NSP14	identity percentage for NSP15	score for NSP15	identity percentage for NSP16	score for NSP16	identity percentage for Spike	score for Spike	identity percentage for NS3	score for NS3	identity percentage for E	score for E	identity percentage for M	score for M	identity percentage for NS6	score for NS6	identity percentage for NS7a	score for NS7a	identity percentage for NS7b	score for NS7b	identity percentage for NS8	score for NS8	identity percentage for N	score for N	death_growth_rate	Country	Clade_V	Clade_GH	Clade_GR	Clade_G	Clade_O	Clade_L	Clade_S
DZA	2020-02-23	3.0	0.0	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	0.0	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-03-01	14.0	7.14	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	0.0	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-03-08	20.0	32.14	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	0.0	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-03-15	102.0	37.7	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	550.0	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-03-22	315.0	73.15	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	7.6923	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-03-29	797.0	80.57	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	621.4286	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-04-05	574.0	80.57	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	43.5644	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-04-12	710.0	84.54	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	-36.5517	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-04-19	721.0	84.54	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	-43.4783	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-04-26	1039.0	82.42	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	-23.0769	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-05-03	1263.0	82.42	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	-12.5	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-05-10	1263.0	11.11	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	37.1429	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-05-17	1292.0	11.11	886.3115	15.396	13913.839	6.211	17.348	17.596	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	4.1667	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
ARG	2020-03-01	9.0	11.11	1726.7723	23.95	18933.907	11.198	16.177	17.627	100.0	1299.0	100.0	4656.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	100.0	2074.0	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.5	2995.0	0.0	Argentina	0.0	0.0	1.0	1.0	0.0	0.0	0.0
ARG	2020-03-08	36.0	24.61	1726.7723	23.95	18933.907	11.198	16.177	17.627	100.0	1299.0	100.0	4656.0	100.0	14269.0	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	100.0	2074.0	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.5	2995.0	0.0	Argentina	0.0	0.0	1.0	1.0	0.0	0.0	0.0
ARG	2020-03-15	180.0	77.78	1726.7723	23.95	18933.907	11.198	16.177	17.627	100.0	1299.0	100.0	4656.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.8	2070.5	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.9	3008.5	100.0	Argentina	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ARG	2020-03-22	520.0	100.0	1726.7723	23.95	18933.907	11.198	16.177	17.627	100.0	1299.0	100.0	4656.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.8	2070.5	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.9	3008.5	650.0	Argentina	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ARG	2020-03-29	706.0	100.0	1726.7723	23.95	18933.907	11.198	16.177	17.627	100.0	1299.0	100.0	4656.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.8	2070.5	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.9	3008.5	60.0	Argentina	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ARG	2020-04-05	686.0	100.0	1726.7723	23.95	18933.907	11.198	16.177	17.627	100.0	1299.0	100.0	4656.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.8	2070.5	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.9	3008.5	91.6667	Argentina	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ARG	2020-04-12	691.0	100.0	1726.7723	23.95	18933.907	11.198	16.177	17.627	100.0	1299.0	100.0	4656.0	99.95	14264.5	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	100.0	3988.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.8	2070.5	100.0	550.0	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	99.9	3008.5	-6.5217	Argentina	0.0	0.0	0.0	1.0	0.0	0.0	0.0
