iso_code	date	total_cases	total_deaths	total_cases_per_million	total_deaths_per_million	new_cases	new_deaths	new_deaths_per_million	new_cases_per_million	stringency_index	hospital_beds_per_1k	health_expenditure_ofGDP	HealthExpenseperGDP	diabetes_prevalence	cvd_death_rate	total_smokers	gdp_per_capita	HDI	median_age	aged_65_older	population_density	population	log_population	Lineage	identity percentage for NSP1	score for NSP1	identity percentage for NSP2	score for NSP2	identity percentage for NSP3	score for NSP3	identity percentage for NSP4	score for NSP4	identity percentage for NSP5	score for NSP5	identity percentage for NSP6	score for NSP6	identity percentage for NSP7	score for NSP7	identity percentage for NSP8	score for NSP8	identity percentage for NSP9	score for NSP9	identity percentage for NSP10	score for NSP10	identity percentage for NSP11	score for NSP11	identity percentage for NSP12	score for NSP12	identity percentage for NSP13	score for NSP13	identity percentage for NSP14	score for NSP14	identity percentage for NSP15	score for NSP15	identity percentage for NSP16	score for NSP16	identity percentage for Spike	score for Spike	identity percentage for NS3	score for NS3	identity percentage for E	score for E	identity percentage for M	score for M	identity percentage for NS6	score for NS6	identity percentage for NS7a	score for NS7a	identity percentage for NS7b	score for NS7b	identity percentage for NS8	score for NS8	identity percentage for N	score for N	death_growth_rate	Country	Clade_V	Clade_GH	Clade_GR	Clade_G	Clade_O	Clade_L	Clade_S
DZA	2020-02-23	3.0	0.0	0.068	0.0	3.0	0.0	0.0	0.069	0.0	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	0.0	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-03-01	17.0	0.0	0.388	0.0	14.0	0.0	0.0	0.32	7.14	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	0.0	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-03-08	37.0	2.0	0.844	0.046	20.0	2.0	0.046	0.456	32.14	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	0.0	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-03-15	139.0	15.0	3.17	0.342	102.0	13.0	0.297	2.327	37.7	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	550.0	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-03-22	454.0	29.0	10.353	0.661	315.0	14.0	0.32	7.183	73.15	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	7.6923	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-03-29	1251.0	130.0	28.528	2.965	797.0	101.0	2.303	18.175	80.57	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	621.4286	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-04-05	1825.0	275.0	41.618	6.271	574.0	145.0	3.307	13.09	80.57	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	43.5644	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-04-12	2535.0	367.0	57.809	8.369	710.0	92.0	2.098	16.192	84.54	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	-36.5517	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-04-19	3256.0	419.0	74.251	9.555	721.0	52.0	1.184	16.444	84.54	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	-43.4783	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
DZA	2020-04-26	4295.0	459.0	97.945	10.467	1039.0	40.0	0.913	23.693	82.42	1.9	6.37	886.3115	6.73	27.836	15.396	13913.839	0.759	29.1	6.211	17.348	43851043.0	17.596	B.1	100.0	1299.0	99.8	4647.0	99.975	14266.75	100.0	3753.0	100.0	2284.0	100.0	2232.0	100.0	601.0	100.0	1439.0	100.0	821.0	100.0	1032.0	100.0	90.0	99.9	6985.0	100.0	4438.0	99.95	3985.0	100.0	2535.0	100.0	2222.0	99.9	9376.0	99.525	2064.75	99.675	547.75	100.0	1667.0	100.0	465.0	100.0	901.0	100.0	340.0	100.0	919.0	100.0	3016.0	-23.0769	Algeria	0.0	1.0	0.0	1.0	0.0	0.0	0.0
